,count,mean,std,min,25%,50%,75%,max
Num_Characters,4999.0,1415.3306661332267,2034.2912417902082,61.0,276.5,642.0,1690.0,17180.0
Num_Characters_No_Whitespace,4999.0,1234.6143228645728,1770.3927747010216,61.0,251.0,556.0,1491.5,14320.0
Fraction_Alphabetical,4999.0,0.7563551992510186,0.034458205469596166,0.431818181818,0.744237588652,0.762942779292,0.7774519065609999,0.849397590361
Fraction_Digits,4999.0,0.017658466197475145,0.017788005476273263,0.000103199174407,0.00608592383681,0.0126422250316,0.0225450901804,0.280487804878
Fraction_Uppercase,4999.0,0.0398700147163953,0.025851815535037494,0.00223887023164,0.02559663922445,0.034444133296,0.0465838509317,0.434065934066
Fraction_Whitespace,4999.0,0.12098965523226193,0.049616766458185864,0.0049504950495,0.0899014778325,0.132841328413,0.1590275291505,0.382985877606
Fraction_Special_Characters,4999.0,0.10499667931925483,0.050572692654666386,0.0197994343019,0.06439589708505,0.0927601809955,0.142857142857,0.342274678112
Num_Words,4999.0,224.3018603720744,326.2584173941079,9.0,41.0,103.0,251.5,2975.0
Num_Unique_Words,4999.0,124.4008801760352,134.70970718292415,9.0,36.0,78.0,157.0,1026.0
Num_Long_Words,4999.0,46.770754150830165,70.62992914910798,2.0,8.0,20.0,55.0,609.0
Avg_Word_Length,4999.0,5.437787007745059,1.1825614008248881,2.452,4.62576219512,5.06976744186,5.90843889717,10.1052631579
Num_Unique_Stopwords,4999.0,23.999799959992,20.716048412395686,0.0,8.0,20.0,35.0,104.0
Fraction_Stopwords,4999.0,0.27043517288317864,0.1363653398886112,0.0,0.181818181818,0.308823529412,0.377192982456,0.550847457627
Num_Sentences,4999.0,10.806761352270454,17.921326286511434,1.0,2.0,5.0,11.0,264.0
Num_Long_Sentences,4999.0,7.410282056411282,11.149153499255453,0.0,1.0,3.0,9.0,103.0
Avg_Characters_Per_Sentence,4999.0,166.90709311778292,218.61684687646363,29.6363636364,93.07428355955,118.833333333,165.0,5905.0
Avg_Words_Per_Sentence,4999.0,24.46970120207058,27.073155158391607,3.25,14.12632978725,18.8571428571,25.239047619049998,631.0
Automated_Readability_Index,4999.0,22.759800136013897,15.05241059691622,6.08115755074,15.62791062805,19.2647826087,25.7198740441,334.728272583
Positive_Sentiment_VADER,4999.0,0.10180356071214243,0.090112451530808,0.0,0.028,0.091,0.15,0.753
Negative_Sentiment_VADER,4999.0,0.050083616723344666,0.06499241352010245,0.0,0.0,0.026,0.083,0.766
Compound_Sentiment_VADER,4999.0,0.2824521704340868,0.6389096593133459,-0.9999,0.0,0.4374,0.88855,0.9997
LIWC_Funct,4999.0,0.338590048859074,0.16786133566534542,0.0,0.22594670406732117,0.38596491228070173,0.46997267759562844,0.65
LIWC_Pronoun,4999.0,0.07791144160967993,0.05203484235328883,0.0,0.03595523774895972,0.08,0.11538461538461539,0.2669491525423729
LIWC_Ppron,4999.0,0.04077291991341078,0.03409551405999928,0.0,0.010582010582010581,0.0374331550802139,0.061502091289325336,0.19279661016949154
LIWC_I,4999.0,0.0221489350276341,0.02589426988067723,0.0,0.0,0.014018691588785047,0.03558015557087196,0.1568627450980392
LIWC_We,4999.0,0.004199871040517286,0.010105332078642601,0.0,0.0,0.0,0.0030418268541264754,0.1111111111111111
LIWC_You,4999.0,0.0072630567471786206,0.011811783217274194,0.0,0.0,0.0,0.011210762331838564,0.10526315789473684
LIWC_SheHe,4999.0,0.004589639557335617,0.012291422571473797,0.0,0.0,0.0,0.0,0.1423076923076923
LIWC_They,4999.0,0.004092074944228337,0.008348543621785678,0.0,0.0,0.0,0.004833838622808708,0.07407407407407407
LIWC_Ipron,4999.0,0.03713852169626917,0.029177090239992553,0.0,0.010510534206580921,0.0363262508567512,0.05698978458805241,0.21052631578947367
LIWC_Article,4999.0,0.045177937018577335,0.0308035936701763,0.0,0.021108326371484264,0.047058823529411764,0.06666666666666667,0.15555555555555556
LIWC_Verbs,4999.0,0.07780862980201958,0.04780069266492287,0.0,0.043478260869565216,0.08333333333333333,0.11302580417108518,0.2631578947368421
LIWC_AuxVb,4999.0,0.045230802511026555,0.03266920095621952,0.0,0.017857142857142856,0.046511627906976744,0.06818181818181818,0.20833333333333334
LIWC_Past,4999.0,0.0171074597310924,0.02011120253964222,0.0,0.0,0.011363636363636364,0.02702702702702703,0.14035087719298245
LIWC_Present,4999.0,0.047139659749643854,0.03304767231780709,0.0,0.02127659574468085,0.047872340425531915,0.07046767786204405,0.17333333333333334
LIWC_Future,4999.0,0.006386710608165299,0.009805659674079736,0.0,0.0,0.0,0.009975124378109452,0.08333333333333333
LIWC_Adverbs,4999.0,0.0313268626661036,0.025244348109294525,0.0,0.008368200836820083,0.030425963488843813,0.04819277108433735,0.16666666666666666
LIWC_Prep,4999.0,0.08599552253390522,0.04633239329914252,0.0,0.056338028169014086,0.09433962264150944,0.12,0.23529411764705882
LIWC_Conj,4999.0,0.03866677276406144,0.02801254827253016,0.0,0.013888888888888888,0.04,0.059322033898305086,0.1509433962264151
LIWC_Negate,4999.0,0.005725503076053261,0.008978199083488922,0.0,0.0,0.0,0.009259259259259259,0.08333333333333333
LIWC_Quant,4999.0,0.019728747614449187,0.01811759048472584,0.0,0.0,0.018518518518518517,0.031510957095054165,0.1111111111111111
LIWC_Numbers,4999.0,0.004491446993266584,0.007810018298647085,0.0,0.0,0.0,0.007058104252524795,0.08333333333333333
LIWC_Swear,4999.0,0.0014580481307139691,0.005394174180434988,0.0,0.0,0.0,0.0,0.07692307692307693
LIWC_Social,4999.0,0.07705349326346583,0.03640616885424343,0.004098360655737705,0.0513763197586727,0.07407407407407407,0.09523809523809523,0.26666666666666666
LIWC_Family,4999.0,0.0011694996018451543,0.004973801159861443,0.0,0.0,0.0,0.0,0.12195121951219512
LIWC_Friends,4999.0,0.0010034149807329879,0.0038510107511659075,0.0,0.0,0.0,0.0,0.060810810810810814
LIWC_Humans,4999.0,0.005552323099464667,0.010038571804862817,0.0,0.0,0.0,0.007829528116826504,0.10204081632653061
LIWC_Affect,4999.0,0.03818701714665284,0.02919580308962412,0.0,0.014084507042253521,0.03696236559139785,0.05653710247349823,0.20833333333333334
LIWC_Posemo,4999.0,0.027113889129628553,0.02420750238574941,0.0,0.006289308176100629,0.023893183415319746,0.04025290480758981,0.16666666666666666
LIWC_Negemo,4999.0,0.010899180676301233,0.015252282631559548,0.0,0.0,0.004132231404958678,0.017505554278709874,0.16379310344827586
LIWC_Anx,4999.0,0.0013791029004003436,0.004537376000829084,0.0,0.0,0.0,0.0,0.09090909090909091
LIWC_Anger,4999.0,0.0046327615889794485,0.009598748887233964,0.0,0.0,0.0,0.005780346820809248,0.125
LIWC_Sad,4999.0,0.0017560584897032638,0.004950511778519763,0.0,0.0,0.0,0.0,0.10416666666666667
LIWC_CogMech,4999.0,0.11198112332502042,0.06373324574387981,0.0,0.06463843268074237,0.11965811965811966,0.15955473098330242,0.35
LIWC_Insight,4999.0,0.02059501618652328,0.020191309218642324,0.0,0.0,0.01694915254237288,0.030779528369889817,0.13793103448275862
LIWC_Cause,4999.0,0.012298697151445529,0.013897220639695647,0.0,0.0,0.009523809523809525,0.020181655262300424,0.12
LIWC_Discrep,4999.0,0.012138164963850314,0.014599798062879183,0.0,0.0,0.008032128514056224,0.019498607242339833,0.11538461538461539
LIWC_Tentat,4999.0,0.023602617604256092,0.022379893394686448,0.0,0.0,0.020833333333333332,0.03597122302158273,0.18518518518518517
LIWC_Certain,4999.0,0.00755129859413713,0.010338594898523118,0.0,0.0,0.0032626427406199023,0.012466263643474702,0.10526315789473684
LIWC_Inhib,4999.0,0.003313783599100341,0.006662732168473096,0.0,0.0,0.0,0.004405286343612335,0.0625
LIWC_Incl,4999.0,0.02644854639881869,0.022484976989670884,0.0,0.0,0.02564102564102564,0.04139971434401143,0.15625
LIWC_Excl,4999.0,0.019110752901573196,0.019187693703609898,0.0,0.0,0.016666666666666666,0.030141290255420228,0.16666666666666666
LIWC_Percept,4999.0,0.013360729076147757,0.015744087094635414,0.0,0.0,0.009900990099009901,0.020134228187919462,0.14285714285714285
LIWC_See,4999.0,0.006929178540888543,0.0113922778960658,0.0,0.0,0.0,0.009708737864077669,0.13333333333333333
LIWC_Hear,4999.0,0.0028860494288548435,0.007044189204231356,0.0,0.0,0.0,0.0024449877750611247,0.10526315789473684
LIWC_Feel,4999.0,0.002819589640537002,0.0062233915729983345,0.0,0.0,0.0,0.003424657534246575,0.09090909090909091
LIWC_Bio,4999.0,0.027531692876402097,0.025333457882429446,0.000643915003219575,0.009670051710756397,0.018518518518518517,0.036036036036036036,0.25925925925925924
LIWC_Body,4999.0,0.022010369887527536,0.023784820694935368,0.0005780346820809249,0.006170120193615054,0.012658227848101266,0.027777777777777776,0.15384615384615385
LIWC_Health,4999.0,0.0021898269924929188,0.006104424706076968,0.0,0.0,0.0,0.0,0.08974358974358974
LIWC_Sexual,4999.0,0.0021100623351624063,0.007026562289069631,0.0,0.0,0.0,0.0,0.18518518518518517
LIWC_Ingest,4999.0,0.001785629677611813,0.00799786624446679,0.0,0.0,0.0,0.0,0.11855670103092783
LIWC_Relativ,4999.0,0.0817479150044538,0.049355732024829846,0.0,0.05,0.08333333333333333,0.11363636363636363,0.2926829268292683
LIWC_Motion,4999.0,0.010298683945770359,0.012744075245045703,0.0,0.0,0.007017543859649123,0.016711866981231456,0.16908212560386474
LIWC_Space,4999.0,0.03884979439588056,0.028066322199430813,0.0,0.018691588785046728,0.038461538461538464,0.05623744979919679,0.1891891891891892
LIWC_Time,4999.0,0.0304520932415658,0.026505012224252753,0.0,0.003413605489730057,0.02857142857142857,0.046511627906976744,0.23529411764705882
LIWC_Work,4999.0,0.0415587960260518,0.027140310489767335,0.0015625,0.02053790222150805,0.035211267605633804,0.05555555555555555,0.2
LIWC_Achiev,4999.0,0.011479781157912488,0.013797391389157187,0.0,0.0,0.008064516129032258,0.018404907975460124,0.15
LIWC_Leisure,4999.0,0.011251690574868328,0.01835499650982861,0.0,0.0,0.0033444816053511705,0.016129032258064516,0.17149758454106281
LIWC_Home,4999.0,0.0016139932154274857,0.005146252394364263,0.0,0.0,0.0,0.0,0.09090909090909091
LIWC_Money,4999.0,0.007164165055655789,0.01430821651813956,0.0,0.0,0.0,0.007905138339920948,0.15789473684210525
LIWC_Relig,4999.0,0.0020068978810461025,0.008555136028994537,0.0,0.0,0.0,0.0,0.13526570048309178
LIWC_Death,4999.0,0.0013524455447931718,0.0053561300175230305,0.0,0.0,0.0,0.0,0.10344827586206896
LIWC_Assent,4999.0,0.001320242487849153,0.0048929293664173885,0.0,0.0,0.0,0.0,0.1111111111111111
LIWC_Dissent,4999.0,0.0016346767213124076,0.004831523806350498,0.0,0.0,0.0,0.0,0.08333333333333333
LIWC_Nonflu,4999.0,0.000859145929873431,0.0031681102127995003,0.0,0.0,0.0,0.0,0.0625
LIWC_Filler,4999.0,0.002479624425895724,0.006215737939001695,0.0,0.0,0.0,0.0020597322348094747,0.07692307692307693
